,pl_hostname,st_optmag,pl_radj,pl_bmassj,pl_def_refname,pl_disc_refname,pl_pelink
473,WASP-76,9.5,1.83,0.92,West et al. 2016,West et al. 2016,http://exoplanet.eu/catalog/wasp-76_b/
1780,WASP-7,9.51,1.33,0.96,Hellier et al. 2008,Hellier et al. 2008,http://exoplanet.eu/catalog/wasp-7_b/
2826,WASP-74,9.7,1.56,0.95,Hellier et al. 2015,Hellier et al. 2015,http://exoplanet.eu/catalog/wasp-74_b/
161,Kepler-37,9.705,0.173,0.03839,Marcy et al. 2014,Barclay et al. 2013,http://exoplanet.eu/catalog/kepler-37_d/
160,Kepler-37,9.705,0.067,0.03776,Marcy et al. 2014,Barclay et al. 2013,http://exoplanet.eu/catalog/kepler-37_c/
159,Kepler-37,9.705,0.029,0.03146,Marcy et al. 2014,Barclay et al. 2013,http://exoplanet.eu/catalog/kepler-37_b/
1593,Ross 458,9.72,1.22,6.28536,Burgasser et al. 2010,Burgasser et al. 2010,http://exoplanet.eu/catalog/ross_458_%28ab%29_c/
1344,HAT-P-22,9.732,1.08,2.147,Bakos et al. 2010,Bakos et al. 2010,http://exoplanet.eu/catalog/hat-p-22_b/
2057,WASP-14,9.75,1.281,7.341,Joshi et al. 2009,Joshi et al. 2009,http://exoplanet.eu/catalog/wasp-14_b/
2052,WASP-8,9.79,1.038,2.244,Queloz et al. 2010,Queloz et al. 2010,http://exoplanet.eu/catalog/wasp-8_b/
2126,WASP-69,9.87,1.057,0.26,Anderson et al. 2014,Anderson et al. 2014,http://exoplanet.eu/catalog/wasp-69_b/
3135,KELT-3,9.873,1.345,1.477,Pepper et al. 2013,Pepper et al. 2013,http://exoplanet.eu/catalog/kelt-3_b/
249,Kepler-93,9.931,0.132,0.01265,Dressing et al. 2015,Marcy et al. 2014,http://exoplanet.eu/catalog/kepler-93_b/
149,KOI-13,9.958,1.512,9.28,Esteves et al. 2015,Borucki et al. 2011,http://exoplanet.eu/catalog/kepler-13_a_b/
3324,WASP-136,9.98,1.38,1.51,Lam et al. 2016,Lam et al. 2016,http://exoplanet.eu/catalog/wasp-136_b/
1619,KELT-4 A,9.98,1.699,0.902,Eastman et al. 2016,Eastman et al. 2016,http://exoplanet.eu/catalog/kelt-4a_b/
1237,HAT-P-14,9.98,1.15,2.232,Torres et al. 2010,Torres et al. 2010,http://exoplanet.eu/catalog/hat-p-14_b/
211,Kepler-68,9.99,0.208,0.01878,Marcy et al. 2014,Gilliland et al. 2013,http://exoplanet.eu/catalog/kepler-68_b/
212,Kepler-68,9.99,0.089,0.02265,Marcy et al. 2014,Gilliland et al. 2013,http://exoplanet.eu/catalog/kepler-68_c/
3259,HAT-P-67,10.069,2.085,0.34,Zhou et al. 2017,Zhou et al. 2017,http://exoplanet.eu/catalog/hat-p-67_b/
1782,WASP-79,10.1,2.09,0.9,Smalley et al. 2012,Smalley et al. 2012,http://exoplanet.eu/catalog/wasp-79_b/
1783,WASP-82,10.1,1.67,1.24,West et al. 2016,Smith 2015,http://exoplanet.eu/catalog/wasp-82_b/
1784,WASP-94 A,10.1,1.72,0.452,Neveu-VanMalle et al. 2014,Neveu-VanMalle et al. 2014,http://exoplanet.eu/catalog/wasp-94_a_b/
3310,WASP-131,10.1,1.22,0.27,Hellier et al. 2016,Hellier et al. 2016,http://exoplanet.eu/catalog/wasp-131_b/
3422,KELT-18,10.117,1.57,1.18,McLeod et al. 2017,McLeod et al. 2017,http://exoplanet.eu/catalog/kelt-18_b/
2196,WASP-117,10.15,1.021,0.2755,Lendl et al. 2014,Lendl et al. 2014,http://exoplanet.eu/catalog/wasp-117_b/
3323,WASP-127,10.15,1.37,0.18,Lam et al. 2016,Lam et al. 2016,http://exoplanet.eu/catalog/wasp-127_b/
125,HIP 116454,10.19,0.226,0.037,Vanderburg et al. 2015,Vanderburg et al. 2015,http://exoplanet.eu/catalog/hip_116454_b/
2571,XO-6,10.25,2.07,4.4,Crouzet et al. 2016,Crouzet et al. 2016,http://exoplanet.eu/catalog/xo-6_b/
252,Kepler-96,10.297,0.238,0.027,Marcy et al. 2014,Marcy et al. 2014,http://exoplanet.eu/catalog/kepler-96_b/
1233,HAT-P-8,10.3,1.5,1.52,Latham et al. 2009,Latham et al. 2009,http://exoplanet.eu/catalog/hat-p-8_b/
2182,WASP-77 A,10.3,1.21,1.76,Maxted et al. 2013,Maxted et al. 2013,http://exoplanet.eu/catalog/wasp-77_a_b/
1778,WASP-62,10.3,1.39,0.57,Hellier et al. 2012,Hellier et al. 2012,http://exoplanet.eu/catalog/wasp-62_b/
2882,HAT-P-49,10.326,1.413,1.73,Bieryla et al. 2014,Bieryla et al. 2014,http://exoplanet.eu/catalog/hat-p-49_b/
3109,HAT-P-1,10.34,1.319,0.525,Nikolov et al. 2014,"Bakos et al., 2007",http://exoplanet.eu/catalog/hat-p-1_b/
2071,WASP-34,10.4,1.22,0.59,Smalley et al. 2011,Smalley et al. 2011,http://exoplanet.eu/catalog/wasp-34_b/
132,KELT-6,10.418,1.18,0.442,Damasso et al. 2015,Collins et al. 2014,http://exoplanet.eu/catalog/kelt-6_b/
1412,HAT-P-30,10.419,1.34,0.711,Johnson et al. 2011,Johnson et al. 2011,http://exoplanet.eu/catalog/hat-p-30-wasp-51_b/
2115,WASP-54,10.42,1.653,0.636,Faedi et al. 2013,Faedi et al. 2013,http://exoplanet.eu/catalog/wasp-54_b/
2056,WASP-13,10.42,1.389,0.477,Barros et al. 2012,Skillen et al. 2009,http://exoplanet.eu/catalog/wasp-13_b/
2508,WASP-121,10.44,1.865,1.183,Delrez et al. 2016,Delrez et al. 2016,http://exoplanet.eu/catalog/wasp-121_b/
1232,HAT-P-6,10.44,1.33,1.057,Noyes et al. 2008,Noyes et al. 2008,http://exoplanet.eu/catalog/hat-p-6_b/
