pl_hostname,pl_letter,pl_discmethod,pl_disc,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_radjerr1,pl_radjerr2,pl_dens,pl_trandep,pl_instrument,pl_insol,pl_eqt,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_orbpererr1,pl_orbpererr2,st_optmag,ra,dec,st_dist,st_teff,st_mass,st_rad,st_plx,gaia_plx,gaia_dist,st_pm,gaia_pm,st_radv,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_age,st_acts,st_bmvj,st_jmh2,pl_instrument,pl_telescope,rowupdate,st_nplc,pl_def_refname,pl_disc_refname,pl_pelink,st_j,st_h,st_k
Kepler-187,b,Transit,2014,2,4.93886400,0.059000,,,,0.126,0.025,-0.025,,,Kepler CCD Array,,,,,,,0.00005800,-0.00005800,14.173,299.796456,44.089306,,6105.00,0.85,1.29,,,,,,,,4.27,,,-0.345,,,,0.341,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-187_b/,12.956,12.615,12.566
Kepler-187,c,Transit,2014,2,10.64026300,0.099000,,,,0.238,0.046,-0.046,,,Kepler CCD Array,,,,,,,0.00004800,-0.00004800,14.173,299.796456,44.089306,,6105.00,0.85,1.29,,,,,,,,4.27,,,-0.345,,,,0.341,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-187_c/,12.956,12.615,12.566
Kepler-188,b,Transit,2014,2,2.06189700,0.032000,,,,0.150,0.068,-0.068,,,Kepler CCD Array,,,,,,,0.00001000,-0.00001000,14.674,281.279710,44.315533,,6021.00,,1.14,,,,,,-8.36,,4.35,,,0.100,,,,0.339,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-188_b/,13.536,13.197,13.144
Kepler-189,b,Transit,2014,2,10.39993100,0.088000,,,,0.108,0.054,-0.054,,,Kepler CCD Array,,,,,,,0.00008500,-0.00008500,14.859,287.564731,44.305004,,5235.00,0.79,0.75,,,,,,,,4.62,,,-0.134,,,,0.467,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-189_b/,13.408,12.941,12.921
Kepler-189,c,Transit,2014,2,20.13486600,0.137000,,,,0.212,0.106,-0.106,,,Kepler CCD Array,,,,,,,0.00005700,-0.00005700,14.859,287.564731,44.305004,,5235.00,0.79,0.75,,,,,,,,4.62,,,-0.134,,,,0.467,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-189_c/,13.408,12.941,12.921
Kepler-190,b,Transit,2014,2,2.01999900,0.030000,,,,0.139,0.010,-0.010,,,Kepler CCD Array,,,,,,,0.00000300,-0.00000300,14.137,288.584039,44.733799,,5106.00,0.84,0.80,,,,,,,,4.56,,,0.009,,,,0.449,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-190_b/,12.728,12.279,12.231
Kepler-190,c,Transit,2014,2,3.76302400,0.045000,,,,0.130,0.009,-0.009,,,Kepler CCD Array,,,,,,,0.00000900,-0.00000900,14.137,288.584039,44.733799,,5106.00,0.84,0.80,,,,,,,,4.56,,,0.009,,,,0.449,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-190_c/,12.728,12.279,12.231
Kepler-191,c,Transit,2014,3,17.73850600,0.128000,,,,0.166,0.082,-0.082,,,Kepler CCD Array,,,,,,,0.00008200,-0.00008200,14.808,291.183386,45.323177,,5282.00,0.85,0.79,,,,,,,,4.59,,,0.006,,,,0.461,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-191_c/,13.420,12.959,12.883
Kepler-192,b,Transit,2014,3,9.92674600,0.090000,,,,0.244,0.040,-0.040,,,Kepler CCD Array,,,,,,,0.00001800,-0.00001800,14.129,287.917924,45.592876,,5479.00,,1.01,,,,,,,,4.43,,,-0.153,,,,0.380,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-192_b/,12.892,12.512,12.427
Kepler-192,c,Transit,2014,3,21.22340000,0.150000,,,,0.249,0.046,-0.046,,,Kepler CCD Array,,,,,,,0.00007600,-0.00007600,14.129,287.917924,45.592876,,5479.00,,1.01,,,,,,,,4.43,,,-0.153,,,,0.380,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-192_c/,12.892,12.512,12.427
